compression_target,model,total_runs,scoreable_count,pass_count,pass_rate,generation_error_count,score_error_count,avg_realized_compression_ratio,rollup,model_count
0.25,deepseek/deepseek-chat-v3.1,177,177,130,0.7344632768361582,0,0,,model,
0.25,deepseek/deepseek-v3.1-terminus,203,203,140,0.6896551724137931,0,0,,model,
0.25,deepseek/deepseek-v4-flash,179,179,128,0.7150837988826816,0,0,,model,
0.25,deepseek/deepseek-v4-pro,197,197,153,0.7766497461928934,0,0,,model,
0.25,mistralai/codestral-2508,205,205,138,0.6731707317073171,0,0,,model,
0.25,mistralai/mistral-large-2512,167,167,132,0.7904191616766467,0,0,,model,
0.25,moonshotai/kimi-k2,182,182,131,0.7197802197802198,0,0,,model,
0.25,moonshotai/kimi-k2-0905,170,170,108,0.6352941176470588,0,0,,model,
0.25,openai/gpt-5-nano,190,190,135,0.7105263157894737,0,0,,model,
0.25,openai/gpt-5.1-codex-mini,179,179,104,0.5810055865921788,0,0,,model,
0.25,openai/gpt-5.4-nano,176,176,141,0.8011363636363636,0,0,,model,
0.25,openai/gpt-oss-120b,194,194,134,0.6907216494845361,0,0,,model,
0.25,qwen/qwen3-coder-flash,175,175,119,0.68,0,0,,model,
0.25,qwen/qwen3-coder-next,193,193,139,0.7202072538860104,0,0,,model,
0.25,z-ai/glm-4.7,186,186,109,0.5860215053763441,0,0,,model,
0.25,z-ai/glm-5,188,188,134,0.7127659574468085,0,0,,model,
0.5,deepseek/deepseek-chat-v3.1,195,195,146,0.7487179487179487,0,0,,model,
0.5,deepseek/deepseek-v3.1-terminus,170,170,131,0.7705882352941177,0,0,,model,
0.5,deepseek/deepseek-v4-flash,187,187,133,0.7112299465240641,0,0,,model,
0.5,deepseek/deepseek-v4-pro,188,188,158,0.8404255319148937,0,0,,model,
0.5,mistralai/codestral-2508,200,200,137,0.685,0,0,,model,
0.5,mistralai/mistral-large-2512,173,173,140,0.8092485549132948,0,0,,model,
0.5,moonshotai/kimi-k2,176,176,132,0.75,0,0,,model,
0.5,moonshotai/kimi-k2-0905,184,184,142,0.7717391304347826,0,0,,model,
0.5,openai/gpt-5-nano,194,194,149,0.7680412371134021,0,0,,model,
0.5,openai/gpt-5.1-codex-mini,180,180,136,0.7555555555555555,0,0,,model,
0.5,openai/gpt-5.4-nano,179,179,149,0.8324022346368715,0,0,,model,
0.5,openai/gpt-oss-120b,207,207,169,0.8164251207729468,0,0,,model,
0.5,qwen/qwen3-coder-flash,196,196,137,0.6989795918367347,0,0,,model,
0.5,qwen/qwen3-coder-next,195,195,152,0.7794871794871795,0,0,,model,
0.5,z-ai/glm-4.7,172,172,140,0.813953488372093,0,0,,model,
0.5,z-ai/glm-5,166,166,137,0.8253012048192772,0,0,,model,
0.75,deepseek/deepseek-chat-v3.1,202,202,161,0.7970297029702971,0,0,,model,
0.75,deepseek/deepseek-v3.1-terminus,184,184,152,0.8260869565217391,0,0,,model,
